Date,Sales
2023-01-01,54.96714153011233
2023-01-02,49.547264127537716
2023-01-03,58.33654537427399
2023-01-04,68.01940288687027
2023-01-05,51.376552233248034
2023-01-06,52.30508138736634
2023-01-07,71.3661735812525
2023-01-08,64.17506308380416
2023-01-09,52.731564874968825
2023-01-10,63.7762716883593
2023-01-11,54.63947378549278
2023-01-12,55.53779736085197
2023-01-13,63.53447475329338
2023-01-14,42.8999684292543
2023-01-15,45.69952237272717
2023-01-16,58.239616090635366
2023-01-17,54.645682244747164
2023-01-18,68.82553141754427
2023-01-19,57.50929648316289
2023-01-20,53.37024657027213
2023-01-21,83.0506383259839
2023-01-22,67.03422976025686
2023-01-23,70.86194728416532
2023-01-24,56.830542404129986
2023-01-25,66.52209980705709
2023-01-26,73.95945772256343
2023-01-27,62.22086211358943
2023-01-28,78.36446583884519
2023-01-29,69.47376980058655
2023-01-30,73.43173629141027
2023-01-31,71.19583480785083
2023-02-01,96.59548525151871
2023-02-02,78.79297557340409
2023-02-03,69.20139284431806
2023-02-04,88.84968482483688
2023-02-05,69.25658282530138
2023-02-06,84.38936121683551
2023-02-07,63.53452607253174
2023-02-08,70.67454030235854
2023-02-09,86.7447349858818
2023-02-10,92.97493716351727
2023-02-11,88.11241001756642
2023-02-12,86.04488923103376
2023-02-13,84.98705258822996
2023-02-14,74.00354516849217
2023-02-15,82.37484375419344
2023-02-16,85.74515316536397
2023-02-17,101.69464334462232
2023-02-18,95.32500215543449
2023-02-19,75.01722858381339
2023-02-20,96.64059010268092
2023-02-21,90.29425595616974
2023-02-22,88.11429589955273
2023-02-23,101.73172748760074
2023-02-24,106.64932492087324
2023-02-25,106.36931934035312
2023-02-26,89.37426382150639
2023-02-27,95.37687991111504
2023-02-28,102.47675976281889
2023-03-01,109.60717133194093
2023-03-02,95.73996303922684
2023-03-03,99.34741193247466
2023-03-04,90.80518163537351
2023-03-05,90.56315299032804
2023-03-06,111.29925061113524
2023-03-07,117.37718060849508
2023-03-08,103.72741368050147
2023-03-09,115.10745934457134
2023-03-10,109.30492365830868
2023-03-11,99.84555559177375
2023-03-12,110.51059718180043
2023-03-13,122.86853708377274
2023-03-14,107.71303015871432
2023-03-15,124.29238411787907
2023-03-16,83.01464297021651
2023-03-17,117.98870904565366
2023-03-18,111.1891448618596
2023-03-19,107.8689502488921
2023-03-20,112.30830227366687
2023-03-21,92.03796166781478
2023-03-22,110.23114075826075
2023-03-23,116.50441626474455
2023-03-24,128.20885618848635
2023-03-25,108.73500784018712
2023-03-26,106.31171480939435
2023-03-27,109.84914783248293
2023-03-28,124.48191621484197
2023-03-29,119.06767761728263
2023-03-30,110.92591870647956
2023-03-31,121.79062272348985
2023-04-01,118.05421830261797
2023-04-02,127.18644990532889
2023-04-03,110.88708769453989
2023-04-04,115.02967857473026
2023-04-05,114.77496668535585
2023-04-06,104.4417203360679
2023-04-07,122.40997692934612
2023-04-08,122.42232593518214
2023-04-09,120.2170161739816
2023-04-10,118.16524528257872
2023-04-11,106.69379073814946
2023-04-12,116.96859556373175
2023-04-13,118.06664853730226
2023-04-14,113.78098801171741
2023-04-15,120.49212310593747
2023-04-16,126.43799386015772
2023-04-17,141.54317055422058
2023-04-18,124.70227531703301
2023-04-19,125.79858692933063
2023-04-20,122.73665323724218
2023-04-21,104.54291905616411
2023-04-22,123.70654914813737
2023-04-23,124.80663553381888
2023-04-24,149.061042394546
2023-04-25,122.72099771606509
2023-04-26,127.867823569207
2023-04-27,124.70479280364799
2023-04-28,113.55657137516297
2023-04-29,136.85496778509074
2023-04-30,133.12147263492557
2023-05-01,133.6799497469632
2023-05-02,116.83540187644016
2023-05-03,140.10909907649128
2023-05-04,112.20683580642091
2023-05-05,132.23049858458816
2023-05-06,148.395537949705
2023-05-07,116.70722964857973
2023-05-08,121.06387052349308
2023-05-09,127.83034884129563
2023-05-10,121.89888937671138
2023-05-11,111.51973873480814
2023-05-12,127.79774147542616
2023-05-13,116.56792206268071
2023-05-14,131.99893905917716
2023-05-15,118.13413735697229
2023-05-16,142.88650139634484
2023-05-17,119.60692003951156
2023-05-18,124.26475858817169
2023-05-19,135.66020098212687
2023-05-20,115.24988594022285
2023-05-21,129.86058678557282
2023-05-22,140.67894595728222
